period,prediction_date,product_id,product_name,predicted,actual,avg_daily_sales,rank,lookback_days,forecast_days
1,2026-01-22,11827,オホーツクおこっぺ醗酵バター (有塩) 125g,2.5,2,0.36,B,14,7
1,2026-01-22,11584,オホーツクおこっぺ有機牛乳 180ml,12.0,15,1.71,A,14,7
1,2026-01-22,11587,オホーツクおこっぺ有機のむヨーグルト 180ml,17.5,13,2.5,A,14,7
1,2026-01-22,11589,おこっぺバタークリームケーキ 1個,2.5,0,0.36,D,14,7
1,2026-01-22,11828,おこっぺ有機チーズモッツァレラ 100g,1.0,0,0.14,E,14,7
1,2026-01-22,13373,おこっぺ有機スモークチーズ 80g,3.0,2,0.43,B,14,7
1,2026-01-22,11586,オホーツクおこっぺ有機ヨーグルト砂糖不使用 150g,4.5,5,0.64,D,14,7
1,2026-01-22,9352218003395,sソフトクリーム平干し芋付,0.0,0,0.0,E,14,7
1,2026-01-22,11825,オホーツクおこっぺ有機牛乳 900ml,0.0,0,0.0,E,14,7
1,2026-01-22,11826,オホーツクおこっぺ醗酵バター (食塩不使用) 125g,0.0,0,0.0,E,14,7
1,2026-01-22,11588,おこっぺ醗酵バターケーキ ピース 1個,0.0,0,0.0,E,14,7
1,2026-01-22,14813,醗酵バターケーキ ホール,0.0,0,0.0,E,14,7
1,2026-01-22,11585,オホーツクおこっぺ有機ヨーグルト 加糖 150g,0.0,0,0.0,E,14,7
1,2026-01-22,13406,おこっぺ季節の有機セミハードチーズ 80g,2.5,0,0.36,C,14,7
1,2026-01-22,13330,ゴーダチーズ 80g,0.0,0,0.0,E,14,7
1,2026-01-22,13331,スモークチーズ 80g,0.0,0,0.0,E,14,7
1,2026-01-22,9352218005121,おこっぺ有機スモークチーズ(キューブ) 40g,0.0,0,0.0,E,14,7
1,2026-01-22,13372,おこっぺ有機ゴーダチーズ 80g,1.0,1,0.14,E,14,7
1,2026-01-22,9352218001506,おこっぺ季節の有機セミハードチーズ 80g,0.0,0,0.0,E,14,7
1,2026-01-22,9352218001722,福まめ 85g,11.0,10,1.57,A,14,7
1,2026-01-22,14716,オーガニック玄米もち プレーン 300g,2.0,0,0.29,C,14,7
1,2026-01-22,1238,オーガニック玄米もち 黒豆 300g,0.0,0,0.0,E,14,7
1,2026-01-22,1237,オーガニック玄米もち よもぎ 300g,0.0,0,0.0,E,14,7
1,2026-01-22,2115,有機きな粉 80g,0.0,0,0.0,E,14,7
1,2026-01-22,2105,オーガニック能登そば 100gx2,0.0,0,0.0,E,14,7
1,2026-01-22,1320,オーガニック米あめ 200g,0.0,0,0.0,E,14,7
1,2026-01-22,14761,アナッサギフトボックス,0.0,0,0.0,E,14,7
1,2026-01-22,9352218002569,オーガニックわたしのぬか床 タッパ付き 1kg,0.0,0,0.0,E,14,7
1,2026-01-22,9352218002570,オーガニックわたしのぬか床 タッパなし 1kg,0.0,0,0.0,E,14,7
1,2026-01-22,9352218002571,オーガニックわたしのぬか床 たしぬか 240g(補充用・塩なし),0.0,0,0.0,E,14,7
1,2026-01-22,9352218004438,ANASSA 4種お試しセット ,0.0,0,0.0,E,14,7
1,2026-01-22,9352218006697,かぶら寿司 1枚入,0.0,0,0.0,E,14,7
1,2026-01-22,12033,六条大麦茶 500g,0.0,0,0.0,E,14,7
1,2026-01-22,1894,奥能登海水塩  200g,0.0,0,0.0,E,14,7
1,2026-01-22,14146,ピュアシメトリー 40g,0.0,0,0.0,E,14,7
1,2026-01-22,14145,ピュアハピネス 20g,0.0,0,0.0,E,14,7
1,2026-01-22,14147,ピュアピース 30g,0.0,0,0.0,E,14,7
1,2026-01-22,14149,ピュアディフェンス  30g,0.0,0,0.0,E,14,7
1,2026-01-22,14155,ピュアハピネス 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14157,ピュアピース 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14156,ピュアシメトリー 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14159,ピュアプロテクション  10袋,0.0,0,0.0,E,14,7
1,2026-01-22,9352218001922,マウンテンティー 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14163,カモミール 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,14161,ミント 10袋,0.0,0,0.0,E,14,7
1,2026-01-22,13587,出来立てモッツァレラ 100g,0.0,0,0.0,E,14,7
1,2026-01-22,13588,出来立てリコッタ 100g,0.0,2,0.0,E,14,7
1,2026-01-22,13590,CS カチョカヴァッロ,0.0,0,0.0,E,14,7
1,2026-01-22,13589,東京ブッラータ 150g,0.0,2,0.0,E,14,7
1,2026-01-22,13635,さけるモッツァレラ(クラタペッパー) 100g,3.5,2,0.5,B,14,7
1,2026-01-22,15761,さけるモッツァレラ(山椒) 100g,0.0,0,0.0,E,14,7
1,2026-01-22,9352218002813,CRACKERS チーズのOTOMO 20枚,0.0,0,0.0,E,14,7
1,2026-01-22,15665,東京白カビチーズ 90g,0.0,0,0.0,E,14,7
1,2026-01-22,15666,東京白やなぎ 90g,0.0,0,0.0,E,14,7
1,2026-01-22,9339709006934,東京セミハードチーズ 100g,0.0,0,0.0,E,14,7
1,2026-01-22,15667,東京ブラウンチーズ 110g,0.0,0,0.0,E,14,7
1,2026-01-22,9339709006810,ホエイジャム 200g,0.0,0,0.0,E,14,7
1,2026-01-22,9339709006935,セミハードチーズのオイル漬け 100g,0.0,0,0.0,E,14,7
1,2026-01-22,16097,レモングラスブッラータ 150g,0.0,0,0.0,E,14,7
1,2026-01-22,9352218004714,さけるモッツァレラ(プレーン) 100g,2.5,3,0.36,C,14,7
2,2026-01-15,14716,オーガニック玄米もち プレーン 300g,4.5,0,0.64,A,14,7
2,2026-01-15,2105,オーガニック能登そば 100gx2,4.5,0,0.64,A,14,7
2,2026-01-15,1238,オーガニック玄米もち 黒豆 300g,2.0,0,0.29,C,14,7
2,2026-01-15,9352218001722,福まめ 85g,6.0,8,0.86,B,14,7
2,2026-01-15,2115,有機きな粉 80g,1.0,0,0.14,E,14,7
2,2026-01-15,1237,オーガニック玄米もち よもぎ 300g,0.0,0,0.0,E,14,7
2,2026-01-15,1320,オーガニック米あめ 200g,0.0,0,0.0,E,14,7
2,2026-01-15,14761,アナッサギフトボックス,0.0,0,0.0,E,14,7
2,2026-01-15,9352218002569,オーガニックわたしのぬか床 タッパ付き 1kg,0.0,0,0.0,E,14,7
2,2026-01-15,9352218002570,オーガニックわたしのぬか床 タッパなし 1kg,0.0,0,0.0,E,14,7
2,2026-01-15,9352218002571,オーガニックわたしのぬか床 たしぬか 240g(補充用・塩なし),0.0,0,0.0,E,14,7
2,2026-01-15,9352218004438,ANASSA 4種お試しセット ,0.0,0,0.0,E,14,7
2,2026-01-15,9352218006697,かぶら寿司 1枚入,1.5,0,0.21,B,14,7
2,2026-01-15,12033,六条大麦茶 500g,0.0,0,0.0,E,14,7
2,2026-01-15,1894,奥能登海水塩  200g,0.0,0,0.0,E,14,7
2,2026-01-15,14146,ピュアシメトリー 40g,0.0,0,0.0,E,14,7
2,2026-01-15,14145,ピュアハピネス 20g,0.0,0,0.0,E,14,7
2,2026-01-15,14147,ピュアピース 30g,0.0,0,0.0,E,14,7
2,2026-01-15,14149,ピュアディフェンス  30g,0.0,0,0.0,E,14,7
2,2026-01-15,14155,ピュアハピネス 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14157,ピュアピース 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14156,ピュアシメトリー 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14159,ピュアプロテクション  10袋,0.0,0,0.0,E,14,7
2,2026-01-15,9352218001922,マウンテンティー 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14163,カモミール 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14161,ミント 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,13373,おこっぺ有機スモークチーズ 80g,4.5,1,0.64,A,14,7
2,2026-01-15,11827,オホーツクおこっぺ醗酵バター (有塩) 125g,0.5,3,0.07,E,14,7
2,2026-01-15,11584,オホーツクおこっぺ有機牛乳 180ml,6.0,12,0.86,C,14,7
2,2026-01-15,11586,オホーツクおこっぺ有機ヨーグルト砂糖不使用 150g,4.0,3,0.57,D,14,7
2,2026-01-15,9352218003395,sソフトクリーム平干し芋付,0.0,0,0.0,E,14,7
2,2026-01-15,11828,おこっぺ有機チーズモッツァレラ 100g,0.0,2,0.0,E,14,7
2,2026-01-15,11825,オホーツクおこっぺ有機牛乳 900ml,0.0,0,0.0,E,14,7
2,2026-01-15,11826,オホーツクおこっぺ醗酵バター (食塩不使用) 125g,0.0,0,0.0,E,14,7
2,2026-01-15,11588,おこっぺ醗酵バターケーキ ピース 1個,0.0,0,0.0,E,14,7
2,2026-01-15,14813,醗酵バターケーキ ホール,0.0,0,0.0,E,14,7
2,2026-01-15,11589,おこっぺバタークリームケーキ 1個,0.0,5,0.0,E,14,7
2,2026-01-15,11585,オホーツクおこっぺ有機ヨーグルト 加糖 150g,0.0,0,0.0,E,14,7
2,2026-01-15,11587,オホーツクおこっぺ有機のむヨーグルト 180ml,7.0,19,1.0,B,14,7
2,2026-01-15,13406,おこっぺ季節の有機セミハードチーズ 80g,2.5,3,0.36,C,14,7
2,2026-01-15,13330,ゴーダチーズ 80g,0.0,0,0.0,E,14,7
2,2026-01-15,13331,スモークチーズ 80g,0.0,0,0.0,E,14,7
2,2026-01-15,9352218005121,おこっぺ有機スモークチーズ(キューブ) 40g,0.0,0,0.0,E,14,7
2,2026-01-15,13372,おこっぺ有機ゴーダチーズ 80g,1.5,0,0.21,D,14,7
2,2026-01-15,9352218001506,おこっぺ季節の有機セミハードチーズ 80g,0.0,0,0.0,E,14,7
2,2026-01-15,13587,出来立てモッツァレラ 100g,0.0,0,0.0,E,14,7
2,2026-01-15,13588,出来立てリコッタ 100g,0.0,0,0.0,E,14,7
2,2026-01-15,13590,CS カチョカヴァッロ,0.0,0,0.0,E,14,7
2,2026-01-15,13589,東京ブッラータ 150g,0.0,0,0.0,E,14,7
2,2026-01-15,13635,さけるモッツァレラ(クラタペッパー) 100g,6.0,4,0.86,A,14,7
2,2026-01-15,15761,さけるモッツァレラ(山椒) 100g,0.0,0,0.0,E,14,7
2,2026-01-15,9352218002813,CRACKERS チーズのOTOMO 20枚,0.0,0,0.0,E,14,7
2,2026-01-15,15665,東京白カビチーズ 90g,0.0,0,0.0,E,14,7
2,2026-01-15,15666,東京白やなぎ 90g,0.0,0,0.0,E,14,7
2,2026-01-15,9339709006934,東京セミハードチーズ 100g,0.0,0,0.0,E,14,7
2,2026-01-15,15667,東京ブラウンチーズ 110g,0.0,0,0.0,E,14,7
2,2026-01-15,9339709006810,ホエイジャム 200g,0.0,0,0.0,E,14,7
2,2026-01-15,9339709006935,セミハードチーズのオイル漬け 100g,0.0,0,0.0,E,14,7
2,2026-01-15,16097,レモングラスブッラータ 150g,0.0,0,0.0,E,14,7
2,2026-01-15,9352218004714,さけるモッツァレラ(プレーン) 100g,0.5,2,0.07,E,14,7
3,2026-01-08,2105,オーガニック能登そば 100gx2,19.5,0,2.79,A,14,7
3,2026-01-08,1238,オーガニック玄米もち 黒豆 300g,7.5,0,1.07,B,14,7
3,2026-01-08,14716,オーガニック玄米もち プレーン 300g,7.0,3,1.0,B,14,7
3,2026-01-08,2115,有機きな粉 80g,6.0,0,0.86,D,14,7
3,2026-01-08,1237,オーガニック玄米もち よもぎ 300g,0.0,0,0.0,E,14,7
3,2026-01-08,1320,オーガニック米あめ 200g,0.0,0,0.0,E,14,7
3,2026-01-08,14761,アナッサギフトボックス,0.0,0,0.0,E,14,7
3,2026-01-08,9352218002569,オーガニックわたしのぬか床 タッパ付き 1kg,0.0,0,0.0,E,14,7
3,2026-01-08,9352218002570,オーガニックわたしのぬか床 タッパなし 1kg,0.0,0,0.0,E,14,7
3,2026-01-08,9352218002571,オーガニックわたしのぬか床 たしぬか 240g(補充用・塩なし),0.0,0,0.0,E,14,7
3,2026-01-08,9352218004438,ANASSA 4種お試しセット ,0.0,0,0.0,E,14,7
3,2026-01-08,9352218006697,かぶら寿司 1枚入,2.5,0,0.36,B,14,7
3,2026-01-08,12033,六条大麦茶 500g,0.0,0,0.0,E,14,7
3,2026-01-08,1894,奥能登海水塩  200g,0.0,0,0.0,E,14,7
3,2026-01-08,9352218001722,福まめ 85g,0.0,15,0.0,E,14,7
3,2026-01-08,14146,ピュアシメトリー 40g,0.0,0,0.0,E,14,7
3,2026-01-08,14145,ピュアハピネス 20g,0.0,0,0.0,E,14,7
3,2026-01-08,14147,ピュアピース 30g,0.0,0,0.0,E,14,7
3,2026-01-08,14149,ピュアディフェンス  30g,0.0,0,0.0,E,14,7
3,2026-01-08,14155,ピュアハピネス 10袋,0.0,0,0.0,E,14,7
3,2026-01-08,14157,ピュアピース 10袋,0.0,0,0.0,E,14,7
3,2026-01-08,14156,ピュアシメトリー 10袋,0.0,0,0.0,E,14,7
3,2026-01-08,14159,ピュアプロテクション  10袋,0.0,0,0.0,E,14,7
3,2026-01-08,9352218001922,マウンテンティー 10袋,0.0,0,0.0,E,14,7
3,2026-01-08,14163,カモミール 10袋,0.0,0,0.0,E,14,7
3,2026-01-08,14161,ミント 10袋,0.0,0,0.0,E,14,7
3,2026-01-08,13635,さけるモッツァレラ(クラタペッパー) 100g,12.0,4,1.71,A,14,7
3,2026-01-08,9352218002813,CRACKERS チーズのOTOMO 20枚,1.5,0,0.21,C,14,7
3,2026-01-08,13589,東京ブッラータ 150g,1.0,0,0.14,E,14,7
3,2026-01-08,15665,東京白カビチーズ 90g,1.0,0,0.14,D,14,7
3,2026-01-08,13587,出来立てモッツァレラ 100g,0.0,0,0.0,E,14,7
3,2026-01-08,13588,出来立てリコッタ 100g,0.0,0,0.0,E,14,7
3,2026-01-08,13590,CS カチョカヴァッロ,0.0,0,0.0,E,14,7
3,2026-01-08,15761,さけるモッツァレラ(山椒) 100g,0.0,0,0.0,E,14,7
3,2026-01-08,15666,東京白やなぎ 90g,0.0,0,0.0,E,14,7
3,2026-01-08,9339709006934,東京セミハードチーズ 100g,0.0,0,0.0,E,14,7
3,2026-01-08,15667,東京ブラウンチーズ 110g,0.0,0,0.0,E,14,7
3,2026-01-08,9339709006810,ホエイジャム 200g,0.0,0,0.0,E,14,7
3,2026-01-08,9339709006935,セミハードチーズのオイル漬け 100g,0.0,0,0.0,E,14,7
3,2026-01-08,16097,レモングラスブッラータ 150g,0.0,0,0.0,E,14,7
3,2026-01-08,9352218004714,さけるモッツァレラ(プレーン) 100g,4.0,3,0.57,B,14,7
3,2026-01-08,11828,おこっぺ有機チーズモッツァレラ 100g,0.5,0,0.07,E,14,7
3,2026-01-08,13373,おこっぺ有機スモークチーズ 80g,2.5,2,0.36,C,14,7
3,2026-01-08,9352218003395,sソフトクリーム平干し芋付,0.0,0,0.0,E,14,7
3,2026-01-08,11825,オホーツクおこっぺ有機牛乳 900ml,0.0,0,0.0,E,14,7
3,2026-01-08,11584,オホーツクおこっぺ有機牛乳 180ml,0.0,12,0.0,E,14,7
3,2026-01-08,11826,オホーツクおこっぺ醗酵バター (食塩不使用) 125g,0.0,0,0.0,E,14,7
3,2026-01-08,11827,オホーツクおこっぺ醗酵バター (有塩) 125g,0.0,2,0.0,E,14,7
3,2026-01-08,11588,おこっぺ醗酵バターケーキ ピース 1個,0.0,0,0.0,E,14,7
3,2026-01-08,14813,醗酵バターケーキ ホール,0.0,0,0.0,E,14,7
3,2026-01-08,11589,おこっぺバタークリームケーキ 1個,0.0,0,0.0,E,14,7
3,2026-01-08,11585,オホーツクおこっぺ有機ヨーグルト 加糖 150g,0.0,0,0.0,E,14,7
3,2026-01-08,11586,オホーツクおこっぺ有機ヨーグルト砂糖不使用 150g,3.5,6,0.5,E,14,7
3,2026-01-08,11587,オホーツクおこっぺ有機のむヨーグルト 180ml,5.5,17,0.79,C,14,7
3,2026-01-08,13406,おこっぺ季節の有機セミハードチーズ 80g,3.0,2,0.43,C,14,7
3,2026-01-08,13330,ゴーダチーズ 80g,0.0,0,0.0,E,14,7
3,2026-01-08,13331,スモークチーズ 80g,0.0,0,0.0,E,14,7
3,2026-01-08,9352218005121,おこっぺ有機スモークチーズ(キューブ) 40g,0.0,0,0.0,E,14,7
3,2026-01-08,13372,おこっぺ有機ゴーダチーズ 80g,2.5,2,0.36,D,14,7
3,2026-01-08,9352218001506,おこっぺ季節の有機セミハードチーズ 80g,0.0,0,0.0,E,14,7
4,2026-01-01,2105,オーガニック能登そば 100gx2,19.5,9,2.79,A,14,7
4,2026-01-01,1238,オーガニック玄米もち 黒豆 300g,8.0,4,1.14,A,14,7
4,2026-01-01,14716,オーガニック玄米もち プレーン 300g,5.5,6,0.79,B,14,7
4,2026-01-01,2115,有機きな粉 80g,9.0,2,1.29,C,14,7
4,2026-01-01,1237,オーガニック玄米もち よもぎ 300g,0.0,0,0.0,E,14,7
4,2026-01-01,1320,オーガニック米あめ 200g,0.0,0,0.0,E,14,7
4,2026-01-01,14761,アナッサギフトボックス,0.0,0,0.0,E,14,7
4,2026-01-01,9352218002569,オーガニックわたしのぬか床 タッパ付き 1kg,0.0,0,0.0,E,14,7
4,2026-01-01,9352218002570,オーガニックわたしのぬか床 タッパなし 1kg,0.0,0,0.0,E,14,7
4,2026-01-01,9352218002571,オーガニックわたしのぬか床 たしぬか 240g(補充用・塩なし),0.0,0,0.0,E,14,7
4,2026-01-01,9352218004438,ANASSA 4種お試しセット ,0.0,0,0.0,E,14,7
4,2026-01-01,9352218006697,かぶら寿司 1枚入,1.0,2,0.14,D,14,7
4,2026-01-01,12033,六条大麦茶 500g,0.0,0,0.0,E,14,7
4,2026-01-01,1894,奥能登海水塩  200g,0.0,0,0.0,E,14,7
4,2026-01-01,9352218001722,福まめ 85g,0.0,0,0.0,E,14,7
4,2026-01-01,14146,ピュアシメトリー 40g,0.0,0,0.0,E,14,7
4,2026-01-01,14145,ピュアハピネス 20g,0.0,0,0.0,E,14,7
4,2026-01-01,14147,ピュアピース 30g,0.0,0,0.0,E,14,7
4,2026-01-01,14149,ピュアディフェンス  30g,0.0,0,0.0,E,14,7
4,2026-01-01,14155,ピュアハピネス 10袋,0.0,0,0.0,E,14,7
4,2026-01-01,14157,ピュアピース 10袋,0.0,0,0.0,E,14,7
4,2026-01-01,14156,ピュアシメトリー 10袋,0.0,0,0.0,E,14,7
4,2026-01-01,14159,ピュアプロテクション  10袋,0.0,0,0.0,E,14,7
4,2026-01-01,9352218001922,マウンテンティー 10袋,0.0,0,0.0,E,14,7
4,2026-01-01,14163,カモミール 10袋,0.0,0,0.0,E,14,7
4,2026-01-01,14161,ミント 10袋,0.0,0,0.0,E,14,7
4,2026-01-01,13635,さけるモッツァレラ(クラタペッパー) 100g,13.0,3,1.86,A,14,7
4,2026-01-01,13589,東京ブッラータ 150g,4.0,0,0.57,B,14,7
4,2026-01-01,9352218002813,CRACKERS チーズのOTOMO 20枚,1.5,0,0.21,C,14,7
4,2026-01-01,15665,東京白カビチーズ 90g,1.5,0,0.21,C,14,7
4,2026-01-01,9352218004714,さけるモッツァレラ(プレーン) 100g,6.0,0,0.86,B,14,7
4,2026-01-01,13587,出来立てモッツァレラ 100g,0.0,0,0.0,E,14,7
4,2026-01-01,13588,出来立てリコッタ 100g,0.0,0,0.0,E,14,7
4,2026-01-01,13590,CS カチョカヴァッロ,0.0,0,0.0,E,14,7
4,2026-01-01,15761,さけるモッツァレラ(山椒) 100g,0.0,0,0.0,E,14,7
4,2026-01-01,15666,東京白やなぎ 90g,0.0,0,0.0,E,14,7
4,2026-01-01,9339709006934,東京セミハードチーズ 100g,0.0,0,0.0,E,14,7
4,2026-01-01,15667,東京ブラウンチーズ 110g,0.0,0,0.0,E,14,7
4,2026-01-01,9339709006810,ホエイジャム 200g,0.0,0,0.0,E,14,7
4,2026-01-01,9339709006935,セミハードチーズのオイル漬け 100g,0.0,0,0.0,E,14,7
4,2026-01-01,16097,レモングラスブッラータ 150g,0.0,0,0.0,E,14,7
4,2026-01-01,11584,オホーツクおこっぺ有機牛乳 180ml,6.0,0,0.86,D,14,7
4,2026-01-01,11827,オホーツクおこっぺ醗酵バター (有塩) 125g,1.0,0,0.14,E,14,7
4,2026-01-01,11587,オホーツクおこっぺ有機のむヨーグルト 180ml,15.0,0,2.14,B,14,7
4,2026-01-01,11828,おこっぺ有機チーズモッツァレラ 100g,1.0,0,0.14,E,14,7
4,2026-01-01,11586,オホーツクおこっぺ有機ヨーグルト砂糖不使用 150g,4.5,2,0.64,D,14,7
4,2026-01-01,9352218003395,sソフトクリーム平干し芋付,0.0,0,0.0,E,14,7
4,2026-01-01,11825,オホーツクおこっぺ有機牛乳 900ml,0.0,0,0.0,E,14,7
4,2026-01-01,11826,オホーツクおこっぺ醗酵バター (食塩不使用) 125g,0.0,0,0.0,E,14,7
4,2026-01-01,11588,おこっぺ醗酵バターケーキ ピース 1個,0.0,0,0.0,E,14,7
4,2026-01-01,14813,醗酵バターケーキ ホール,0.0,0,0.0,E,14,7
4,2026-01-01,11589,おこっぺバタークリームケーキ 1個,0.0,0,0.0,E,14,7
4,2026-01-01,11585,オホーツクおこっぺ有機ヨーグルト 加糖 150g,0.0,0,0.0,E,14,7
4,2026-01-01,13406,おこっぺ季節の有機セミハードチーズ 80g,3.0,0,0.43,C,14,7
4,2026-01-01,13330,ゴーダチーズ 80g,0.0,0,0.0,E,14,7
4,2026-01-01,13331,スモークチーズ 80g,0.0,0,0.0,E,14,7
4,2026-01-01,9352218005121,おこっぺ有機スモークチーズ(キューブ) 40g,0.0,0,0.0,E,14,7
4,2026-01-01,13372,おこっぺ有機ゴーダチーズ 80g,4.0,0,0.57,C,14,7
4,2026-01-01,13373,おこっぺ有機スモークチーズ 80g,1.0,5,0.14,E,14,7
4,2026-01-01,9352218001506,おこっぺ季節の有機セミハードチーズ 80g,0.0,0,0.0,E,14,7
